id,created_at,text,retweet_count,favorite_count,source
1842323813964644816,Fri Oct 04 22:00:00 +0000 2024,"おおおおおお！！
AI動画編集者、勝ち確定！
Metaが発表した動画生成AI「Movie Gen」がヤバそう
・テキスト→高品質動画
・編集もテキストで完結
・顔1枚から動画生成
・BGMまで生成
Gen-3超え？の映像クオリティ😳
https://t.co/vij9lcETHJ",43,463,xtep
1842189727216410771,Fri Oct 04 13:07:11 +0000 2024,@satoto0707 みんなご存知のスペシャルゲスト☺️,0,1,Twitter for iPhone
1842189125388210363,Fri Oct 04 13:04:48 +0000 2024,@h1r_s328 @unikoukokun 知りたい,0,1,Twitter for iPhone
1842172825047875611,Fri Oct 04 12:00:02 +0000 2024,"１０月のコラボ先①
興味ある人いいね！ https://t.co/Rqv8qpOiiQ",1,46,xtep
1842169006720987267,Fri Oct 04 11:44:51 +0000 2024,@ojigineko_tips @necococo922 きになり,0,3,Twitter for iPhone
1842045673489023198,Fri Oct 04 03:34:46 +0000 2024,@michipo5 ぽっぽ,0,3,Twitter for iPhone
1842045628609904905,Fri Oct 04 03:34:36 +0000 2024,@h1r_s328 🐩,0,1,Twitter for iPhone
1842045600201891970,Fri Oct 04 03:34:29 +0000 2024,@okknews 🐒,0,1,Twitter for iPhone
1842045572393665022,Fri Oct 04 03:34:22 +0000 2024,@choco_mama_00 🐶,0,0,Twitter for iPhone
1842045547366252971,Fri Oct 04 03:34:16 +0000 2024,@marimomama7 🍭,0,0,Twitter for iPhone
1842045489967243499,Fri Oct 04 03:34:03 +0000 2024,@AI5710681918229 🍝,0,1,Twitter for iPhone
